"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-02-28","4.92","0.00","0.0","12",,"38","16"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-01","3.80","0.00","0.0","12",,"38","19"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-02","3.13","0.00","0.0","11",,"42","19"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-03","3.58","0.00","0.0","10",,"41","20"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-04","3.13","0.00","0.0","10",,"39","20"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-05","6.26","0.00","0.0","9",,"42","23"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-06","6.49","0.00","0.0","8",,"41","24"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-07","3.58","0.02","0.0","6",,"47","35"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-08","6.49","0.00","0.0","4",,"37","34"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-09","9.62","0.04","0.0","4",,"39","33"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-10","9.62","0.27","0.0","2",,"42","35"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-11","9.84","0.25","0.0","0",,"47","35"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-12","4.47","0.03","0.0","0",,"43","38"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-13","12.75","0.00","0.0","0",,"45","38"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-14","9.40","0.00","0.0","0",,"64","40"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-15","6.93","0.00","0.0","0",,"60","41"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-16","6.49","0.08","0.0","0",,"50","40"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-17","6.49","0.00","0.0","0",,"58","34"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-18","8.95","0.00","0.0","0",,"64","39"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-19","13.65","0.00","0.0","0",,"45","29"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-20","8.28","0.00","0.0","0",,"39","23"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-21","3.58","0.00","0.0","0",,"50","24"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-22","8.50","0.00","0.0","0",,"55","30"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-23","9.17","0.00","0.0","0",,"61","37"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-24","7.83","0.00","0.0","0",,"55","31"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-25","11.86","0.00","0.0","0",,"42","24"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-26","13.65","0.00","0.0","0",,"51","25"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-27","7.61","0.00","0.0","0",,"52","40"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-28","10.07","0.00","0.0","0",,"52","33"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-29","10.96","0.00","0.0","0",,"59","32"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-30","14.76","0.00","0.0","0",,"75","46"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-03-31","8.50","0.00","0.0","0",,"76","50"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-04-01","9.84","0.00","0.0","0",,"81","50"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-04-02","14.76","0.06","0.0","0",,"72","44"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-04-03","11.86","0.00","0.0","0",,"61","39"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-04-04","8.95","0.00","0.0","0",,"67","50"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-04-05","6.49","0.01","0.0","0",,"60","43"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-04-06","9.84","0.28","0.0","0",,"52","44"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-04-07","11.86","0.00","0.0","0",,"56","39"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-04-08","7.83","0.00","0.0","0",,"52","33"
